t,row,variable,horizon,scalar_baseline,scalar_refit,omitted_baseline,omitted_refit
-0.06,3,inflation,2,-0.0031034176,-0.0031077656,-0.00013942865,-0.00012718108
-0.06,4,inflation,3,-0.0043365062,-0.00433151,-0.0001187518,-0.00011502872
-0.06,5,inflation,4,-0.0055338272,-0.005523428,-6.9516213e-05,-7.5499981e-05
-0.06,6,inflation,5,-0.0066310789,-0.0066194721,-1.1739661e-06,-1.572172e-05
-0.06,7,inflation,6,-0.0075767448,-0.0075673384,7.7118324e-05,5.6344404e-05
-0.06,8,inflation,7,-0.0083330029,-0.0083281803,0.00015748857,0.00013318341
-0.06,9,inflation,8,-0.0088769461,-0.0088779207,0.00023414463,0.0002086905
-0.06,10,inflation,9,-0.0092027032,-0.0092084539,0.00030336928,0.00027846772
-0.06,11,inflation,10,-0.0093163745,-0.0093242253,0.00036295835,0.00033960416
-0.06,12,inflation,11,-0.0092319883,-0.0092386991,0.00041178829,0.00039039408
-0.06,13,inflation,12,-0.0089685645,-0.0089713751,0.00044950314,0.00043007029
-0.06,14,inflation,13,-0.0085479763,-0.0085453724,0.00047628567,0.00045856938
-0.06,15,inflation,14,-0.007993395,-0.0079855415,0.00049268831,0.00047633399
-0.06,16,inflation,15,-0.0073281654,-0.0073170375,0.00049950771,0.00048415183
-0.06,17,inflation,16,-0.0065750039,-0.0065642813,0.00049769106,0.00048302817
-0.06,18,inflation,17,-0.0057554396,-0.005750236,0.00048826633,0.0004740872
-0.06,19,inflation,18,-0.0048894397,-0.0048959357,0.00047229037,0.00045849768
-0.06,20,inflation,19,-0.0039951758,-0.0040202097,0.00045081075,0.00043741845
-0.06,21,output,0,-0.011924095,-0.011768002,-0.002990562,-0.0037616039
-0.06,22,output,1,-0.021817975,-0.021783731,-0.0031494766,-0.00400195
-0.06,23,output,2,-0.02884192,-0.028862789,-0.0021418896,-0.0028284981
-0.06,24,output,3,-0.033280443,-0.033305054,-0.00075944077,-0.001187649
-0.06,25,output,4,-0.035583364,-0.035632701,0.00035974867,0.00011190819
-0.06,26,output,5,-0.036023415,-0.036116474,0.0011905305,0.0010683042
-0.06,27,output,6,-0.034889547,-0.03504129,0.0017223372,0.0016807606
-0.06,28,output,7,-0.032433024,-0.032626386,0.0019700106,0.0019662217
-0.06,29,output,8,-0.028854089,-0.028980413,0.0020028293,0.0020067361
-0.06,30,output,9,-0.024796581,-0.024839664,0.0019082912,0.0019083295
-0.06,31,output,10,-0.020660446,-0.020641129,0.0017430027,0.0017366957
-0.06,32,output,11,-0.016686373,-0.016634582,0.0015432786,0.0015320801
-0.06,33,output,12,-0.013011414,-0.012953416,0.001332094,0.0013187004
-0.06,34,output,13,-0.0097056109,-0.0096593782,0.0011236568,0.001110711
-0.06,35,output,14,-0.0067961447,-0.0067707865,0.00092642367,0.00091598033
-0.06,36,output,15,-0.0042832684,-0.0042802776,0.00074509389,0.00073847995
-0.06,37,output,16,-0.0021508133,-0.0021659334,0.00058192958,0.00057979509
-0.06,38,output,17,-0.00037309978,-0.00039820916,0.00043763139,0.00044007641
-0.06,39,output,18,0.0010805392,0.0010557905,0.00031191919,0.00031863808
-0.06,40,output,19,0.0022428202,0.00222971,0.00020391676,0.00021433156
-0.05,1,inflation,0,-0.0008442299,-0.00085958967,-7.0900717e-05,-6.085925e-05
-0.05,2,inflation,1,-0.0019102688,-0.001922011,-0.00012318802,-0.00010871801
-0.05,3,inflation,2,-0.0031034176,-0.003106463,-0.00013942865,-0.00012713439
-0.05,4,inflation,3,-0.0043365062,-0.0043322177,-0.0001187518,-0.00011280432
-0.05,5,inflation,4,-0.0055338272,-0.0055254831,-6.9516213e-05,-7.0781632e-05
-0.05,6,inflation,5,-0.0066310789,-0.0066220327,-1.1739661e-06,-8.6455016e-06
-0.05,7,inflation,6,-0.0075767448,-0.0075696425,7.7118324e-05,6.5384319e-05
-0.05,8,inflation,7,-0.0083330029,-0.0083296639,0.00015748857,0.00014368577
-0.05,9,inflation,8,-0.0088769461,-0.0088782845,0.00023414463,0.00022017095
-0.05,10,inflation,9,-0.0092027032,-0.0092078181,0.00030336928,0.00029053799
-0.05,11,inflation,10,-0.0093163745,-0.0093230655,0.00036295835,0.00035199586
-0.05,12,inflation,11,-0.0092319883,-0.009237657,0.00041178829,0.00040295037
-0.05,13,inflation,12,-0.0089685645,-0.0089710481,0.00044950314,0.00044272382
-0.05,14,inflation,13,-0.0085479763,-0.0085461342,0.00047628567,0.00047131633
